Empresa,Valor Actual,Fecha minimo,Valor minimo,Fecha maximo,Valor maximo,Periodo Media
M.ABE,19.555,6/3/2009,4.1805,1/2/2018,19.64,9.68626043165
M.ACS,29.910,24/7/2012,8.6194,19/6/2017,35.2611,22.4033996403
M.ACX,11.335,5/3/2009,5.6436,25/3/2015,14.2622,9.48429494585
M.AENA,165.000,10/2/2015,55.3524,9/6/2017,183.7,123.837161333
M.AMS,58.900,7/5/2010,9.2142,23/1/2018,63.5072,27.6696463333
M.ANA,67.320,24/7/2012,25.8505,8/11/2007,166.09,61.4086115108
M.BBVA,7.116,9/3/2009,2.8494,10/12/2007,9.7455,6.29490467626
M.BKIA,3.902,25/6/2013,2.0596,2/8/2011,176.7948,27.5483713333
M.BKT,8.840,25/7/2012,1.1624,1/2/2018,9.342,4.36208021583
M.CABK,4.115,5/3/2009,1.2036,25/1/2018,4.44,2.75974831081
M.CLNX,20.340,14/11/2016,12.5194,23/1/2018,22.82,16.1952966667
M.COL,8.625,24/7/2012,1.5399,26/11/2007,725.419,36.5418259928
M.DIA,4.026,4/8/2011,2.0858,13/4/2015,6.8977,4.715455
M.ELE,16.810,10/10/2008,4.5892,8/5/2017,21.2805,10.4014924188
M.ENG,21.020,31/3/2009,6.4165,4/7/2016,25.5638,15.1522942446
M.FER,17.375,9/3/2009,1.9092,26/10/2015,21.1954,10.417633574
M.GAS,17.855,20/3/2009,5.0321,31/5/2017,21.3571,13.3459812274
M.GRF,23.710,30/6/2010,3.5113,1/11/2017,26.747,12.2584633094
M.IAG,6.984,22/11/2011,1.3933,11/11/2015,7.9174,4.40900266667
M.IBE,6.108,25/7/2012,1.9824,6/6/2017,6.9122,4.36331007194
M.ITX,26.790,21/11/2008,3.8787,2/6/2017,36.2764,17.3560741007
M.MAP,2.718,5/3/2009,0.8176,15/5/2017,3.1718,2.00549025271
M.MEL,10.830,6/3/2009,1.5634,2/6/2017,13.7497,7.79335703971
M.MRL,11.170,13/8/2014,7.1164,17/12/2015,11.778,9.88185466667
M.MTS,27.185,11/2/2016,6.0942,23/6/2008,125.916,36.4034453237
M.REE,16.455,10/10/2008,4.3444,8/6/2017,19.6499,10.4703776173
M.REP,14.480,3/3/2009,6.5946,15/1/2018,15.94,12.0599238267
M.SAB,1.829,20/7/2012,0.9331,10/12/2007,4.2334,1.94417885305
M.SAN,5.645,9/3/2009,2.0349,8/11/2007,6.5821,4.75021870504
M.SGRE,11.760,25/7/2012,0.8237,17/6/2008,27.2508,9.52469963899
M.TEF,7.742,24/7/2012,6.4852,5/8/2015,12.1524,9.35667122302
M.TL5,8.860,12/3/2009,2.9407,9/5/2017,12.62,7.29651732852
M.TRE,25.470,21/11/2008,10.0086,3/8/2015,42.1651,29.2849433213
M.VIS,52.800,23/9/2008,8.6439,23/1/2018,57.1,31.3437992806
NEIDR,11.400,18/6/2012,5.7271,13/11/2007,14.561,10.8582985612
