Empresa,Actual,Media,Minimo,Maximo,Val por media,Val por maxmin,Fecha minimo,Fecha maximo
M.ABE,19.465,9.692,4.181,19.64,200,98,6/3/2009,1/2/2018
M.ACS,28.550,22.335,8.619,35.261,127,74,24/7/2012,19/6/2017
M.ACX,11.035,9.492,5.644,14.262,116,62,5/3/2009,25/3/2015
M.AENA,161.900,123.877,55.352,183.7,130,83,10/2/2015,9/6/2017
M.AMS,57.700,27.705,9.214,63.507,208,89,7/5/2010,23/1/2018
M.ANA,67.800,61.517,25.851,166.09,110,29,24/7/2012,8/11/2007
M.BBVA,7.019,6.298,2.849,9.745,111,60,9/3/2009,10/12/2007
M.BKIA,3.848,27.367,2.06,176.795,14,1,25/6/2013,2/8/2011
M.BKT,8.856,4.351,1.162,9.342,203,94,25/7/2012,1/2/2018
M.CABK,4.025,2.754,1.204,4.44,146,87,5/3/2009,25/1/2018
M.CLNX,19.975,16.205,12.519,22.82,123,72,14/11/2016,23/1/2018
M.COL,8.455,34.631,1.54,725.419,24,0,24/7/2012,26/11/2007
M.DIA,3.934,4.719,2.086,6.898,83,38,4/8/2011,13/4/2015
M.ELE,16.695,10.399,4.589,21.28,160,72,10/10/2008,8/5/2017
M.ENG,20.510,15.208,6.417,25.564,134,73,31/3/2009,4/7/2016
M.FER,17.270,10.41,1.909,21.195,165,79,9/3/2009,26/10/2015
M.GAS,18.035,13.339,5.032,21.357,135,79,20/3/2009,31/5/2017
M.GRF,23.330,12.25,3.511,26.747,190,85,30/6/2010,1/11/2017
M.IAG,6.720,4.395,1.393,7.917,152,81,22/11/2011,11/11/2015
M.IBE,6.062,4.357,1.982,6.912,139,82,25/7/2012,6/6/2017
M.ITX,26.200,17.36,3.879,36.276,150,68,21/11/2008,2/6/2017
M.MAP,2.698,2.007,0.818,3.172,134,79,5/3/2009,15/5/2017
M.MEL,10.900,7.815,1.563,13.75,139,76,6/3/2009,2/6/2017
M.MRL,11.050,9.867,7.116,11.778,111,84,13/8/2014,17/12/2015
M.MTS,26.535,36.083,6.094,125.916,73,17,11/2/2016,23/6/2008
M.REE,16.225,10.465,4.344,19.65,155,77,10/10/2008,8/6/2017
M.REP,14.130,12.045,6.595,15.94,117,80,3/3/2009,15/1/2018
M.SAB,1.776,1.941,0.933,4.233,91,25,20/7/2012,10/12/2007
M.SAN,5.485,4.741,2.035,6.582,115,75,9/3/2009,8/11/2007
M.SGRE,12.080,9.526,0.824,27.251,126,42,25/7/2012,17/6/2008
M.TEF,7.660,9.343,6.485,12.152,81,20,24/7/2012,5/8/2015
M.TL5,8.980,7.298,2.941,12.62,123,62,12/3/2009,9/5/2017
M.TRE,25.830,29.21,10.009,42.165,88,49,21/11/2008,3/8/2015
M.VIS,52.850,31.38,8.644,57.1,168,91,23/9/2008,23/1/2018
NEIDR,11.140,10.819,5.727,14.378,102,62,18/6/2012,3/4/2014
