Empresa,Actual,Media,Minimo,Maximo,Val por media,Val por maxmin,Fecha minimo,Fecha maximo
M.ABE,19.485,9.714,4.181,19.64,200,98,6/3/2009,1/2/2018
M.ACS,28.480,22.368,8.619,35.261,127,74,24/7/2012,19/6/2017
M.ACX,11.725,9.509,5.644,14.262,123,70,5/3/2009,25/3/2015
M.AENA,166.200,124.328,55.352,183.7,133,86,10/2/2015,9/6/2017
M.AMS,59.340,27.773,9.214,63.507,213,92,7/5/2010,23/1/2018
M.ANA,67.260,61.162,25.851,166.09,109,29,24/7/2012,8/11/2007
M.BBVA,7.076,6.311,2.849,9.745,112,61,9/3/2009,10/12/2007
M.BKIA,3.931,27.233,2.06,176.795,14,1,25/6/2013,2/8/2011
M.BKT,8.860,4.377,1.162,9.342,202,94,25/7/2012,1/2/2018
M.CABK,4.089,2.764,1.204,4.44,147,89,5/3/2009,25/1/2018
M.CLNX,20.330,16.257,12.519,22.82,125,75,14/11/2016,23/1/2018
M.COL,8.750,35.348,1.54,725.419,24,0,24/7/2012,26/11/2007
M.DIA,3.946,4.726,2.086,6.898,83,38,4/8/2011,13/4/2015
M.ELE,16.985,10.453,4.589,21.28,162,74,10/10/2008,8/5/2017
M.ENG,20.760,15.208,6.417,25.564,136,74,31/3/2009,4/7/2016
M.FER,17.435,10.378,1.909,21.195,168,80,9/3/2009,26/10/2015
M.GAS,18.340,13.335,5.032,21.357,137,81,20/3/2009,31/5/2017
M.GRF,23.620,12.334,3.511,26.747,191,86,30/6/2010,1/11/2017
M.IAG,7.002,4.427,1.393,7.917,158,85,22/11/2011,11/11/2015
M.IBE,6.106,4.372,1.982,6.912,139,83,25/7/2012,6/6/2017
M.ITX,26.830,17.358,3.879,36.276,154,70,21/11/2008,2/6/2017
M.MAP,2.776,2.006,0.818,3.172,138,83,5/3/2009,15/5/2017
M.MEL,11.020,7.833,1.563,13.75,140,77,6/3/2009,2/6/2017
M.MRL,11.220,9.873,7.116,11.778,113,88,13/8/2014,17/12/2015
M.MTS,28.700,36.516,6.094,125.916,78,18,11/2/2016,23/6/2008
M.REE,16.075,10.472,4.344,19.65,153,76,10/10/2008,8/6/2017
M.REP,13.985,12.039,6.595,15.94,116,79,3/3/2009,15/1/2018
M.SAB,1.827,1.948,0.933,4.233,93,27,20/7/2012,10/12/2007
M.SAN,5.623,4.75,2.035,6.582,118,78,9/3/2009,8/11/2007
M.SGRE,12.460,9.438,0.824,27.251,132,44,25/7/2012,17/6/2008
M.TEF,7.608,9.328,6.485,12.152,81,19,24/7/2012,5/8/2015
M.TL5,9.390,7.295,2.941,12.62,128,66,12/3/2009,9/5/2017
M.TRE,25.910,29.191,10.009,42.165,88,49,21/11/2008,3/8/2015
M.VIS,54.450,31.416,8.644,57.1,173,94,23/9/2008,23/1/2018
NEIDR,10.880,10.826,5.727,14.378,100,59,18/6/2012,3/4/2014
